Year, alpha, beta 
1995, 0.005683258231434, 0.408187635911919
1996, 0.000842148464881, 0.408187635911919
1997, 0.152591159724945, 0.564641324022293
1998, 0.093160643038618, 0.530481993730189
1999, 0.901693835257293, 0.012357920881743
2000, 0.012702012837621, 0.007623787439365
2001, 0.003255550991179, 0.005545041586911
2002, 0.079775227608599, 0.002890981331910
2003, 0.090226363583534, 0.408187635911921
2004, 0.668558740866429, 0.993083390676762
2005, 0.094979194661381, 0.064633082751267
2006, 0.680082522335330, 0.542676641690772
2007, 1.000000000000000, 0.999999999999999
2008, 0.680082522335330, 0.530877665003997
2009, 0.680082522335329, 0.057989647250233
2010, 0.946734759736270, 1.000000000000000
2011, 0.680082522335330, 0.999999999999998
2012, 0.912330722077649, 0.999999999999997
