Conference, Year, Round, specR, hillR
Big East, 1995, 1, 0.2857142857142857, 0.4638655462184874
Big East, 1995, 2, 0.2857142857142857, 0.5081463049700755
Big East, 1995, 3, 0.4285714285714286, 0.5554728835978836
Big East, 1995, 4, 0.7081707364042525, 0.5929350083056478
Big East, 1995, 5, 0.6678122863520642, 0.6554254850088184
Big East, 1995, 6, 0.8133427440836255, 0.7691544566544567
Big East, 1995, 7, 0.8571428571428571, 0.8443606701940035
Big East, 1996, 1, 0.2857142857142857, 0.5106547619047619
Big East, 1996, 2, 0.4285714285714286, 0.6387734192037471
Big East, 1996, 3, 0.4285714285714286, 0.6437717438573604
Big East, 1996, 4, 0.5714285714285714, 0.722819850831899
Big East, 1996, 5, 0.7142857142857143, 0.7640070447654717
Big East, 1996, 6, 0.8571428571428572, 0.9285253684807256
Big East, 1996, 7, 0.8571428571428572, 0.9300941306755259
Big East, 1997, 1, 0.2857142857142857, 0.5581582633053221
Big East, 1997, 2, 0.4285714285714286, 0.5310918898809524
Big East, 1997, 3, 0.5714285714285714, 0.48178427997705103
Big East, 1997, 4, 0.5554165193902035, 0.38535931299603177
Big East, 1997, 5, 0.7110789395366044, 0.5509110787172011
Big East, 1997, 6, 0.6975527504953741, 0.514512058868855
Big East, 1997, 7, 0.8148656235139924, 0.538301282051282
Big East, 1998, 1, 0.4285714285714286, 0.6665674603174603
Big East, 1998, 2, 0.40128814205356433, 0.3749255952380952
Big East, 1998, 3, 0.5797603620412848, 0.44692577030812325
Big East, 1998, 4, 0.5811505969342874, 0.39349987335359676
Big East, 1998, 5, 0.6153431906178263, 0.46530036932264657
Big East, 1998, 6, 0.753283821578273, 0.6427933673469388
Big East, 1998, 7, 0.8169318855506389, 0.7081225198412698
Big East, 1999, 1, 0.2857142857142857, 0.3869815668202765
Big East, 1999, 2, 0.44492867898449684, 0.3796338155515371
Big East, 1999, 3, 0.4506122286274825, 0.4882267441860465
Big East, 1999, 4, 0.7142857142857143, 0.4799523809523809
Big East, 1999, 5, 0.7142857142857143, 0.5454274891774891
Big East, 1999, 6, 0.8571428571428572, 0.6390801423662248
Big East, 1999, 7, 0.8571428571428571, 0.7082630621693122
Big East, 2000, 1, 0.2857142857142857, 0.6325902980239715
Big East, 2000, 2, 0.5714285714285714, 0.5713435374149659
Big East, 2000, 3, 0.7142857142857143, 0.644704861111111
Big East, 2000, 4, 0.8571428571428572, 0.6066512841091493
Big East, 2000, 5, 0.8509962831526181, 0.6702631693703122
Big East, 2000, 6, 0.8462740583009556, 0.7358254840397698
Big East, 2000, 7, 0.8571428571428571, 0.8862757034632035
Big East, 2001, 1, 0.2857142857142857, 0.7833172458172458
Big East, 2001, 2, 0.2857142857142857, 0.7442110177404295
Big East, 2001, 3, 0.4285714285714286, 0.7573502886002886
Big East, 2001, 4, 0.5714285714285714, 0.6666335978835978
Big East, 2001, 5, 0.7142857142857143, 0.7556639904023625
Big East, 2001, 6, 0.8571428571428572, 0.8408673791486291
Big East, 2001, 7, 0.8571428571428572, 0.9300941306755259
Big East, 2002, 1, 0.2857142857142857, 0.658698593073593
Big East, 2002, 2, 0.2857142857142857, 0.710691391941392
Big East, 2002, 3, 0.4285714285714286, 0.7057773109243698
Big East, 2002, 4, 0.7142857142857143, 0.8024492332941408
Big East, 2002, 5, 0.7142857142857143, 0.733260582010582
Big East, 2002, 6, 0.8571428571428572, 0.8313781879793116
Big East, 2002, 7, 0.8571428571428572, 0.8862757034632035
Big East, 2003, 1, 0.4285714285714286, 0.7082981977513227
Big East, 2003, 2, 0.4285714285714286, 0.5384081196581196
Big East, 2003, 3, 0.4285714285714286, 0.5341405740378343
Big East, 2003, 4, 0.5714285714285714, 0.546484519195275
Big East, 2003, 5, 0.6231779970714654, 0.5472869674185463
Big East, 2003, 6, 0.7525098287513368, 0.6841087092731829
Big East, 2003, 7, 0.857142857142857, 0.7658814589665653
Big East, 2004, 1, 0.16666666666666663, 0.41083743842364534
Big East, 2004, 2, 0.33333333333333337, 0.3632034632034632
Big East, 2004, 3, 0.5, 0.5258980785296574
Big East, 2004, 4, 0.6937264964370626, 0.43443754313319527
Big East, 2004, 5, 0.7131731913780501, 0.514297385620915
Big East, 2004, 6, 0.6614594025201999, 0.4402116402116402
Big East, 2005, 1, 0.1428571428571429, 0.5581582633053221
Big East, 2005, 2, 0.4285714285714286, 0.49165690866510536
Big East, 2005, 3, 0.5714285714285714, 0.47112411056376574
Big East, 2005, 4, 0.7142857142857143, 0.608665458937198
Big East, 2005, 5, 0.7142857142857143, 0.6451452892985151
Big East, 2005, 6, 0.857142857142857, 0.6457692625661376
Big East, 2005, 7, 0.8375171303894551, 0.744459219858156
Big East, 2006, 1, 0.2857142857142857, 0.6408348595848596
Big East, 2006, 2, 0.2857142857142857, 0.6294422398589066
Big East, 2006, 3, 0.4285714285714286, 0.605573720098368
Big East, 2006, 4, 0.5714285714285714, 0.5280374977706438
Big East, 2006, 5, 0.6033198938222495, 0.46520803866100896
Big East, 2006, 6, 0.7202194228615477, 0.5841004636177903
Big East, 2006, 7, 0.8048535137450802, 0.6398730158730159
Big East, 2007, 1, 0.1428571428571429, 0.563265306122449
Big East, 2007, 2, 0.3189693737054836, 0.26130494505494506
