America East,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,0.1250,0.4286
,,2,0.3750,0.5000
,,3,0.6250,0.4444
,,4,0.7500,1.0000
,,5,0.7182,0.3750
,,6,0.7449,1.0000
,,7,0.7476,0.5000
,,8,0.7432,0.3333
,,9,0.7247,0.6000
,,10,0.7247,0.0000
,,11,0.8367,1.0000
,,12,0.8091,0.3333
,,13,0.8022,0.8000
,,14,0.7938,0.6667
,,15,0.7772,0.4000
,,16,0.7601,0.5000
,2003,,,
,,1,0.3750,0.5000
,,2,0.3750,0.5000
,,3,0.5000,0.3333
,,4,0.6250,0.5000
,,5,0.7500,0.5000
,,6,0.7436,0.3333
,,7,0.8497,0.6000
,,8,0.8326,0.5000
,,9,0.8291,0.6667
,,10,0.8330,0.8000
,,11,0.7679,0.2000
,,12,0.7747,0.2500
,,13,0.7747,0.7500
,,14,0.7045,0.2500
,,15,0.7021,0.5000
,,16,0.8043,0.7500
,2004,,,
,,1,0.1111,0.0000
,,2,0.3333,0.6667
,,3,0.4444,0.2000
,,4,0.5556,1.0000
,,5,0.5556,0.3333
,,6,0.6667,0.5000
,,7,0.7778,0.7778
,,8,0.8862,0.8000
,,9,0.8889,0.7500
,,10,0.8878,0.8333
,,11,0.8889,0.6000
,,12,0.8889,1.0000
,,13,0.9052,0.6667
,,14,0.9047,0.8000
,,15,0.8611,0.3333
,,16,0.8611,1.0000
,,17,0.8611,0.6000
,,18,0.8611,0.6000
,2005,,,
,,1,0.1111,0.0000
,,2,0.2222,0.6000
,,3,0.3333,0.2000
,,4,0.4444,0.4000
,,5,0.5556,1.0000
,,6,0.6667,0.2000
,,7,0.7778,0.2000
,,8,0.8166,0.4000
,,9,0.8187,0.8000
,,10,0.8187,0.8000
,,11,0.7939,0.8000
,,12,0.8076,0.6000
,,13,0.8020,0.8000
,,14,0.8429,0.6000
,,15,0.8238,0.8000
,,16,0.8333,0.6000
,,17,0.8333,0.6000
,,18,0.8242,0.2000
,2006,,,
,,1,0.2500,0.3333
,,2,0.3750,0.6000
,,3,0.5000,0.2500
,,4,0.6250,0.7500
,,5,0.6250,0.5000
,,6,0.6289,0.3750
,,7,0.7333,1.0000
,,8,0.7500,0.5000
,,9,0.7318,0.1667
,,10,0.7320,0.7500
,,11,0.7207,1.0000
,,12,0.7098,0.5000
,,13,0.7057,1.0000
,,14,0.7855,0.6000
,,15,0.7833,0.2500
,,16,0.7833,0.7500
,2007,,,
,,1,0.2500,0.1667
,,2,0.2500,0.5000
,,3,0.3750,0.7500
,,4,0.5000,0.5000
,,5,0.4977,0.2857
,,6,0.5647,1.0000
