AFC,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,1.0000,0.0000
,,2,1.0000,0.3333
,,3,1.0000,0.8000
,,4,0.9333,0.3333
,,5,0.9449,0.6667
,,6,0.9365,0.5000
,,7,0.9304,0.3333
,,8,0.9270,0.5000
,,9,0.9032,0.2000
,,10,0.9053,0.5000
,,11,0.9022,0.6667
,,12,0.9103,0.4000
,,13,0.9237,0.8333
,,14,0.8901,0.5000
,,15,0.8835,0.4286
,,16,0.8919,0.4000
,,17,0.8768,0.6667
,2003,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,1.0000,0.7143
,,4,1.0000,0.6000
,,5,0.9333,0.6000
,,6,0.9148,0.4000
,,7,0.9057,0.2000
,,8,0.9161,0.8333
,,9,0.9194,1.0000
,,10,0.9262,0.8000
,,11,0.9142,0.5000
,,12,0.9333,1.0000
,,13,0.9333,0.6000
,,14,0.9272,0.4286
,,15,0.9333,0.8000
,,16,0.9333,0.8333
,,17,0.9000,0.5000
,2004,,,
,,1,1.0000,0.0000
,,2,1.0000,0.0000
,,3,1.0000,0.4000
,,4,1.0000,0.4286
,,5,0.9449,0.8000
,,6,0.9497,1.0000
,,7,0.9474,0.2500
,,8,0.9296,0.3333
,,9,0.9331,0.0000
,,10,0.9258,0.5000
,,11,0.9305,0.8000
,,12,0.9221,0.6000
,,13,0.9201,0.7500
,,14,0.9146,1.0000
,,15,0.9128,0.5000
,,16,0.9277,0.5714
,,17,0.9000,0.6667
,2005,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,0.9333,0.2500
,,4,0.9268,0.6000
,,5,0.9330,0.7500
,,6,0.9493,0.8333
,,7,0.9461,0.5000
,,8,0.9339,0.2000
,,9,0.9224,0.8333
,,10,0.9313,0.8333
,,11,0.9292,0.7143
,,12,0.9261,0.5000
,,13,0.9265,0.7500
,,14,0.9134,0.7143
,,15,0.9139,0.7500
,,16,0.9125,0.7143
,,17,0.9298,0.5000
,2006,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,1.0000,0.3333
,,4,1.0000,0.2000
,,5,1.0000,0.6000
,,6,1.0000,0.6667
,,7,0.9563,0.5000
,,8,0.9282,0.0000
,,9,0.9333,0.8000
,,10,0.9333,0.5714
,,11,0.9200,0.2500
,,12,0.9333,0.6667
,,13,0.9229,0.5000
,,14,0.9273,0.3750
,,15,0.9239,0.8333
