Year, alpha, beta 
2002, 0.595701836360277, 0.086839327599432
2003, 0.932770541606679, 0.415400146644848
2004, 1.000000000000000, 0.695705517323871
2005, 0.642764055704711, 0.548622111700790
2006, 0.341433849102763, 0.710008451829715
2007, 0.947189860987618, 0.797009608439744
2008, 0.043422976737806, 0.576485996686125
2009, 0.040893688986834, 1.000000000000000
2010, 0.290719600115980, 0.607768975205941
2011, 0.287888955217897, 0.813845658933932
2012, 0.946926834933753, 0.769776063898545
2013, 0.826486478827004, 0.179252423265544
2014, 0.358347233689554, 0.193381978053947
2015, 0.050143553398543, 0.319373359965861
