Year, alpha, beta 
2002, 1.000000000000000, 0.458594265333630
2003, 0.681826126402143, 0.320352757818655
2004, 0.537304927757206, 0.089636053012497
2005, 0.516022941293256, 0.051468989525128
2006, 0.305936217568088, 0.177138882639720
2007, 0.526157237890183, 0.435800852853060
2008, 0.307021238804970, 0.125812347634795
2009, 0.710345393003203, 0.026196271664336
2010, 0.763478231262037, 0.726861963067405
2011, 0.294572913163472, 0.368017718926911
2012, 0.763664299463470, 0.264512776959244
2013, 0.954857061750765, 0.045719118839996
2014, 0.496661030173778, 0.376302977164623
2015, 0.912931196173571, 1.000000000000000
