Year, alpha, beta 
2002, 0.505575795588674, 0.023350882824809
2003, 0.454431011674781, 0.375034009215045
2004, 0.032405635265146, 0.230814132058092
2005, 0.243615784606398, 0.151702278994998
2006, 0.488785786452723, 0.103177785610502
2007, 0.452544858571095, 1.000000000000000
2008, 0.268090270643963, 0.863393155257060
2009, 0.278023416062977, 0.062180169509435
2010, 0.366330064313233, 0.461042013357669
2011, 0.483894425100329, 0.473311718699341
2012, 0.017523588833464, 0.822429147782537
2013, 0.235255840905269, 0.046081798644485
2014, 0.772395594098042, 0.443773616147259
2015, 1.000000000000000, 0.174574669856348
