Year, acyclicR 
1995, 0.124632291384538
1996, 0.113751149191040
1997, 0.127562684843319
1998, 0.121417046937123
1999, 0.135689263789778
2000, 0.123231728525025
2001, 0.116003592939856
2002, 0.108637210327235
2003, 0.110325094401016
2004, 0.114605498883472
2005, 0.137028771350021
2006, 0.149604572309001
2007, 0.134855003408265
2008, 0.120684587351659
2009, 0.115596989306032
2010, 0.121004108877162
2011, 0.105013975169693
2012, 0.132633328188263
2013, 0.120005584856945
2014, 0.128268328083807
2015, 0.105832636058787
2016, 0.104944762010262
2017, 0.110214155235516
2018, 0.115884331785247
