Year, alpha, beta 
1995, 0.895580380143370, 0.893799214710642
1996, 0.890885856835449, 0.887015911217186
1997, 0.955803273151739, 0.908349543716923
1998, 0.964664745747486, 0.912444161113471
1999, 0.998337649658090, 0.932556814227394
2000, 1.000000000000000, 0.932867084527882
2001, 0.918898620707396, 0.941913832370253
2002, 0.876557485383811, 0.941597306180996
2003, 0.934313111989601, 0.929016761480065
2004, 0.923004817995466, 0.941363821128933
2005, 0.890495267054322, 0.943528067716462
2006, 0.844597392245645, 0.949335571352629
2007, 0.889565279492668, 0.956243355425969
2008, 0.899887807614615, 0.964708896558498
2009, 0.886990556594880, 0.962105307140071
2010, 0.960589315337882, 0.962098504959447
2011, 0.901435905796590, 0.965402350207126
2012, 0.940958072147794, 0.969998930127054
2013, 0.943632579482381, 0.991537469290158
2014, 0.917657590330836, 0.991114967469523
2015, 0.904146319242463, 0.994010596303823
2016, 0.903482209676488, 0.994146521226329
2017, 0.899875941743835, 0.998760061275747
2018, 0.818219058882141, 1.000000000000000
