YEAR,SEED,EXPECTED,WINS,DIFFERENCE,TEAM,C
2018,1,4.75,6,1.25,Villanova,bigEast
2018,1,4.75,4,-0.75,Kansas,big12
2018,1,4.75,1,-3.75,Xavier,bigEast
2018,1,4.75,0,-4.75,Virginia,acc
2018,2,3,3,0,Duke,acc
2018,2,3,2,-1,Purdue,big10
2018,2,3,1,-2,Cincinnati,american
2018,2,3,1,-2,North_Carolina,acc
2018,3,2,5,3,Michigan,big10
2018,3,2,3,1,Texas_Tech,big12
2018,3,2,1,-1,Michigan_St,big10
2018,3,2,1,-1,Tennessee,sec
2018,4,2,2,0,Gonzaga,
2018,4,2,1,-1,Auburn,sec
2018,4,2,0,-2,Arizona,pac12
2018,4,2,0,-2,Wichita_St,american
2018,5,1,2,1,Clemson,acc
2018,5,1,2,1,Kentucky,sec
2018,5,1,2,1,West_Virginia,big12
2018,5,1,1,0,Ohio_St,big10
2018,6,1,1,0,Florida,sec
2018,6,1,1,0,Houston,american
2018,6,1,0,-1,Miami_FL,acc
2018,6,1,0,-1,TCU,big12
2018,7,1,2,1,Nevada,
2018,7,1,2,1,Texas_A&M,sec
2018,7,1,1,0,Rhode_Island,
2018,7,1,0,-1,Arkansas,sec
2018,8,1,1,0,Seton_Hall,bigEast
2018,8,1,0,-1,Creighton,bigEast
2018,8,1,0,-1,Missouri,sec
2018,8,1,0,-1,Virginia_Tech,acc
2018,9,0,3,3,Florida_St,acc
2018,9,0,3,3,Kansas_St,big12
2018,9,0,1,1,Alabama,sec
2018,9,0,0,0,NC_State,acc
2018,10,0,1,1,Butler,bigEast
2018,10,0,0,0,Oklahoma,big12
2018,10,0,0,0,Providence,bigEast
2018,10,0,0,0,Texas,big12
2018,11,0,4,4,Loyola-Chicago,
2018,11,0,2,2,Syracuse,acc
2018,11,0,0,0,Arizona_St,pac12
2018,11,0,0,0,San_Diego_St,
2018,11,0,0,0,St_Bonaventure,
2018,11,0,0,0,UCLA,pac12
2018,12,0,0,0,Davidson,
2018,12,0,0,0,Murray_St,
2018,12,0,0,0,New_Mexico_St,
2018,12,0,0,0,S_Dakota_St,
2018,13,0,1,1,Buffalo,
2018,13,0,1,1,Marshall,
2018,13,0,0,0,Col_Charleston,
2018,13,0,0,0,UNC_Greensboro,
2018,14,0,0,0,Bucknell,
2018,14,0,0,0,Montana,
2018,14,0,0,0,SF_Austin,
2018,14,0,0,0,Wright_St,
2018,15,0,0,0,CS_Fullerton,
2018,15,0,0,0,Georgia_St,
2018,15,0,0,0,Iona,
2018,15,0,0,0,Lipscomb,
2018,16,0,1,1,UMBC,
2018,16,0,0,0,LIU_Brooklyn,
2018,16,0,0,0,NC_Central,
2018,16,0,0,0,Penn,
2018,16,0,0,0,Radford,
2018,16,0,0,0,TX_Southern,
2017,1,4.75,6,1.25,North_Carolina,acc
2017,1,4.75,5,0.25,Gonzaga,
2017,1,4.75,3,-1.75,Kansas,big12
2017,1,4.75,1,-3.75,Villanova,bigEast
2017,2,3,3,0,Kentucky,sec
2017,2,3,2,-1,Arizona,pac12
2017,2,3,1,-2,Duke,acc
2017,2,3,1,-2,Louisville,acc
2017,3,2,4,2,Oregon,pac12
2017,3,2,2,0,Baylor,
2017,3,2,2,0,UCLA,pac12
2017,3,2,1,-1,Florida_St,acc
2017,4,2,3,1,Florida,sec
2017,4,2,2,0,Butler,bigEast
2017,4,2,2,0,Purdue,big10
2017,4,2,2,0,West_Virginia,big12
2017,5,1,1,0,Iowa_St,big12
2017,5,1,1,0,Notre_Dame,acc
2017,5,1,1,0,Virginia,acc
2017,5,1,0,-1,Minnesota,big10
2017,6,1,1,0,Cincinnati,american
2017,6,1,0,-1,Creighton,bigEast
2017,6,1,0,-1,Maryland,big10
2017,6,1,0,-1,SMU,american
2017,7,1,4,3,South_Carolina,sec
2017,7,1,2,1,Michigan,big10
2017,7,1,1,0,St_Mary's_CA,
2017,7,1,0,-1,Dayton,
2017,8,1,2,1,Wisconsin,big10
2017,8,1,1,0,Arkansas,sec
2017,8,1,1,0,Northwestern,big10
2017,8,1,0,-1,Miami_FL,acc
2017,9,0,1,1,Michigan_St,big10
2017,9,0,0,0,Seton_Hall,bigEast
2017,9,0,0,0,Vanderbilt,sec
2017,9,0,0,0,Virginia_Tech,acc
2017,10,0,1,1,Wichita_St,american
2017,10,0,0,0,Marquette,bigEast
